dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,12;14,the first kind of parking lot;tennis court,15,0.606868,0.023663,0.537446,0.024465,0.573319,0.025588,0.771577,0.008469,0.761833,0.007791,0.753666,0.008961,0.866966,0.010360,0.003805,0.007296,0.007453,0.014281,0.877901,0.010801,0.007389,0.014171,0.014208,0.027202,422.49,0.49
Houston,12;15,the first kind of parking lot;running track,15,0.598991,0.019878,0.525914,0.030988,0.564305,0.021753,0.784275,0.005027,0.803806,0.005526,0.767395,0.005362,0.866629,0.007225,0.213014,0.020338,0.341410,0.026493,0.880481,0.007610,0.305423,0.029161,0.452628,0.032673,422.07,0.49
Houston,13;14,the second kind of parking lot;tennis court,15,0.597323,0.032125,0.526563,0.024383,0.562825,0.034633,0.813104,0.007336,0.758196,0.004578,0.797655,0.007804,0.864267,0.008383,0.006345,0.012112,0.012267,0.023378,0.873818,0.006900,0.006650,0.012694,0.012841,0.024471,421.95,0.48
Houston,13;15,the second kind of parking lot;running track,15,0.596734,0.017018,0.505024,0.013292,0.561423,0.018521,0.826924,0.006264,0.802352,0.003065,0.812808,0.006722,0.864873,0.008298,0.359701,0.030925,0.507149,0.031187,0.878484,0.006699,0.307496,0.026437,0.454765,0.029312,422.11,0.49
Houston,14;15,tennis court;running track,15,0.587989,0.016667,0.499712,0.015133,0.552273,0.018100,0.796286,0.007528,0.752156,0.006087,0.779849,0.008067,0.857989,0.008547,0.005615,0.010752,0.010893,0.020833,0.866773,0.008057,0.007143,0.013678,0.013752,0.026291,422.49,0.49
HS-SAR-Berlin,1;2,forest;residential area,8,0.222473,0.002749,0.490265,0.007867,0.159666,0.005804,0.338051,0.001731,0.758371,0.001770,0.276890,0.001976,0.956635,0.002437,0.068380,0.002977,0.127620,0.005186,0.944052,0.004110,0.201327,0.008765,0.331771,0.011787,700.12,0.89
HS-SAR-Berlin,1;3,forest;industrial area,8,0.706377,0.002764,0.374479,0.018863,0.481351,0.001788,0.848267,0.001682,0.697549,0.007054,0.753445,0.002862,0.954731,0.002612,0.290873,0.017233,0.445596,0.020048,0.864327,0.011435,0.197217,0.011684,0.320927,0.015031,701.18,0.90
HS-SAR-Berlin,1;4,forest;low plants,8,0.620183,0.006301,0.298660,0.036408,0.195537,0.034615,0.778361,0.002824,0.711760,0.003883,0.641770,0.004299,0.952692,0.002293,0.243576,0.015776,0.387684,0.019725,0.865267,0.006970,0.251237,0.016397,0.389067,0.019052,700.49,0.88
HS-SAR-Berlin,1;5,forest;soil,8,0.689218,0.009084,0.316575,0.019770,0.457180,0.009331,0.847176,0.001873,0.747741,0.008701,0.752802,0.003331,0.951593,0.002243,0.281248,0.013103,0.433998,0.015448,0.855490,0.010453,0.424493,0.025370,0.566916,0.021992,700.58,0.90
HS-SAR-Berlin,1;6,forest;allotment,8,0.713692,0.004446,0.376550,0.017246,0.495009,0.009798,0.862490,0.003655,0.717609,0.005497,0.775366,0.005565,0.961146,0.000984,0.289543,0.027065,0.444322,0.032058,0.896872,0.008989,0.179820,0.016809,0.299161,0.023088,701.00,0.88
